Date,Open,High,Low,Close,Volume
2021-10-25,28527,28666,28473,28600,626679600.0
2021-10-26,28927,29160,28895,29106,727762800.0
2021-10-27,29056,29139,28870,29098,705990000.0
2021-10-28,28871,28894,28700,28820,1428089200.0
2021-10-29,28819,29000,28475,28892,1044784500.0
2021-11-01,29330,29664,29271,29647,767309500.0
2021-11-02,29462,29599,29457,29520,711160900.0
2021-11-04,29859,29880,29718,29794,903998300.0
2021-11-05,29840,29840,29505,29611,735077300.0
2021-11-08,29735,29735,29507,29507,683466600.0
2021-11-09,29557,29750,29240,29285,650448400.0
2021-11-10,29207,29289,29080,29106,638903500.0
2021-11-11,29093,29331,29081,29277,605676800.0
2021-11-12,29381,29660,29277,29609,684044500.0
2021-11-15,29609,29861,29609,29776,604251200.0
2021-11-16,29749,29958,29681,29808,619847600.0
2021-11-17,29906,29908,29623,29688,639044800.0
2021-11-18,29597,29715,29403,29598,654090200.0
2021-11-19,29641,29768,29593,29745,655733600.0
2021-11-22,29618,29804,29542,29774,587707900.0
2021-11-24,29663,29751,29212,29302,695303700.0
2021-11-25,29469,29567,29444,29499,507120000.0
2021-11-26,29324,29332,28606,28751,728745800.0
2021-11-29,28337,28776,28187,28283,859116700.0
2021-11-30,28611,28718,27819,27821,1406636200.0
2021-12-01,27866,28106,27594,27935,808761700.0
2021-12-02,27716,27935,27644,27753,774195800.0
2021-12-03,27841,28029,27589,28029,719085400.0
2021-12-06,28069,28069,27693,27927,
2021-12-07,28138,28617,27961,28455,782685100.0
2021-12-08,28792,28897,28621,28860,
2021-12-09,28827,28908,28725,28725,543774000.0
2021-12-10,28542,28699,28393,28437,
