Date,Open,High,Low,Close,aClose,Volume
2021-10-05,6123,6198,5910,6027,6027,20197700
2021-10-06,6100,6103,5888,5902,5902,17196800
2021-10-07,5961,6061,5907,5949,5949,14071600
2021-10-08,6127,6296,6068,6118,6118,21749800
2021-10-11,6128,6476,6101,6416,6416,22773600
2021-10-12,6320,6368,6191,6261,6261,14800800
2021-10-13,6219,6280,6150,6194,6194,10976600
2021-10-14,6250,6294,6197,6252,6252,10854200
2021-10-15,6305,6359,6241,6290,6290,10757400
2021-10-18,6349,6378,6201,6238,6238,11557900
2021-10-19,6212,6466,6211,6429,6429,14919000
2021-10-20,6598,6719,6523,6712,6712,22642700
2021-10-21,6712,6756,6560,6574,6574,20359300
2021-10-22,6619,6720,6542,6610,6610,15774100
2021-10-25,6500,6516,6320,6387,6387,16218700
2021-10-26,6525,6605,6484,6500,6500,14469500
2021-10-27,6441,6449,6254,6281,6281,16856800
2021-10-28,6230,6364,6100,6112,6112,59271700
2021-10-29,6099,6224,6070,6164,6164,16610400
2021-11-01,6269,6368,6256,6329,6329,13854300
2021-11-02,6358,6437,6304,6316,6316,13597000
2021-11-04,6435,6439,6230,6230,6230,13358800
2021-11-05,6247,6309,6110,6209,6209,15855300
2021-11-08,6222,6236,6123,6161,6161,10842200
2021-11-09,6800,6930,6675,6808,6808,40706000
2021-11-10,6781,6804,6461,6554,6554,29876400
2021-11-11,6515,6687,6445,6675,6675,23563500
2021-11-12,6722,6902,6707,6847,6847,23242700
2021-11-15,6990,7029,6896,7000,7000,20705200
2021-11-16,6960,7148,6913,7113,7113,18940200
2021-11-17,7170,7217,7113,7132,7132,15818400
2021-11-18,7060,7085,6871,6986,6986,17488400
2021-11-19,6826,6935,6805,6856,6856,16608900
2021-11-22,6798,6871,6762,6822,6822,9988100
2021-11-24,6732,6755,6596,6596,6596,16416800
2021-11-25,6643,6730,6634,6683,6683,9749300
2021-11-26,6630,6634,6321,6336,6336,21737900
2021-11-29,6200,6376,6172,6208,6208,18069400
2021-11-30,6300,6336,6000,6030,6030,20287700
2021-12-01,6008,6050,5807,5900,5900,22539600
2021-12-02,5769,5808,5539,5599,5599,28549500
2021-12-03,5570,5637,5423,5559,5559,25516400
2021-12-06,5201,5287,5057,5103,5103,31211400
2021-12-07,5300,5568,5265,5508,5508,31670200
2021-12-08,5620,5646,5366,5493,5493,26388800
2021-12-09,5464,5610,5460,5551,5551,18621700
2021-12-10,5490,5562,5440,5518,5518,17534500
